LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,332,432.00,53,33,37.69,,189.79,,332,432.00,53,33,37.69,,189.79,

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
"Inoa 5,0",3474630462403,Scanlon Hair,2.00,,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,12",3474636448265,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,15",3474636432721,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,17",3474630446755,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,25",3474636401123,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,3",3474630660540,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,32",3474630414044,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,35",3474630414143,Scanlon Hair,3.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,4",3474630414242,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,45",3474630446854,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,5",3474636403837,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,56",3474630447158,Scanlon Hair,1.00,0,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,62",,Scanlon Hair,0.00,0,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,8",3474630540927,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 6,3474630414648,Scanlon Hair,3.00,3,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,0",3474630491717,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,1",3474630414747,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,17",3474630642065,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,18",,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,23",3474630414846,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,3",3474630660656,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,32",3474630415041,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,34",3474630415140,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
