LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70",189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
LOR SE Inforcer Masque 250ml,3474636483990,Scanlon Hair,1.00,1,3.09,,34.00,,34.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Inforcer Shampoo 300ml,3474636483938,Scanlon Hair,2.00,2,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Liss Unlimited Masque 250ml,3474636482474,Scanlon Hair,1.00,2,3.09,12.84,34.00,12.84,34.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Liss Unlimited Shampoo 300ml,3474636481910,Scanlon Hair,2.00,2,2.64,10.97,29.00,21.94,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Liss Unlimited Smoothing Cream 150ml,3474636482511,Scanlon Hair,3.00,1,2.36,,26.00,,78.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Liss Unlimited Smoothing Cream 150ml,3474630536012,Scanlon Hair,1.00,0,0.00,,26.00,,26.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Lumino Contrast 200ml,3474633001876,Scanlon Hair,2.00,,2.82,,31.00,,62.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Lumino Contrast Shampoo 250ml,3474633001807,Scanlon Hair,1.00,0,2.36,,26.00,,26.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Nutrifier Blow Dry Cream 150ml,3474636506194,Scanlon Hair,2.00,2,0.00,,26.00,,52.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Nutrifier Conditioner 200ml,3474636506156,Scanlon Hair,1.00,2,2.64,10.97,29.00,10.97,29.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Nutrifier Masque 200ml,3474636382880,Scanlon Hair,1.00,0,2.82,,31.00,,31.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Nutrifier Masque 250ml,3474636506170,Scanlon Hair,2.00,2,3.09,,34.00,,68.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Nutrifier Shampoo 300ml,3474636506125,Scanlon Hair,2.00,2,2.64,10.97,29.00,21.94,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Scalp Instant Clear Shampoo 300ml,3474636568918,Scanlon Hair,2.00,2,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Scalp Sensi Balance Shampoo 300ml,3474636505593,Scanlon Hair,2.00,2,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
