Textbox3,Textbox56,Textbox61,Textbox64,Textbox21,Textbox79,Textbox84,Textbox87,Textbox90,Textbox22,Textbox93,Name1,Handle,StartingStock1,NewStock1,Return1,Transfer1,AdjustmentIncrease1,OtherIncrease1,InternalUse1,Damaged1,OutOfDate1,Sold1,Removed1,AdjustmentDecrease,Textbox24,OtherDecrease1,EndStock1,Textbox7,Textbox8,Textbox9,Textbox10,Textbox11,Textbox12,Textbox13,Textbox14,Textbox15,Textbox16,Textbox17,Textbox18,Textbox25,Textbox19,Textbox20
,,,,,,,,,,,LOR SE Volumetry Conditioner 200ml,3474636505890,-35,3,,,38,,,,,5,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Volumetry Root Lift Spray 125ml,3474630527584,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Volumetry Shampoo 300ml,3474636505876,-44,3,,,49,,,,,7,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Smartbond Conditioner 250ml,3474636452842,-64,11,,,78,,1,,,17,,,,,7,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Steampod,3474630657632,-10,,,,15,,,,,1,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Coloured Hair Conditioner 250ml,3474630643291,,1,,,1,,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Coloured Hair Shampoo 250ml,3474630643178,,3,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Denser Hair Gelee 90ml,3474636432905,-8,,,,12,,,,,3,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Natural Hair Conditioner 250ml,3474630643253,-1,,,,3,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Natural Hair Shampoo 250ml,3474630643161,-3,,,,6,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
