"id","created_at","updated_at","supplier","barcode","product_range","display_name","order_name","supplier_sequence","discontinued","product_usage","current_max_stock","current_stock_available","current_cost_price","current_retail_price"
"53","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630397798","Dia Richesse","Dia Richesse 4","","04.01.08","0","Professional","1","1",\N,"0.00"
"54","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399099","Dia Richesse","Dia Richesse 4,15","","04.01.09","0","Professional","1","1",\N,"0.00"
"55","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399594","Dia Richesse","Dia Richesse 4,20","","04.01.10","0","Professional","1","1",\N,"0.00"
"56","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399693","Dia Richesse","Dia Richesse 4,62","","04.01.11","0","Professional","2","3",\N,"0.00"
"57","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630570146","Dia Richesse","Dia Richesse 4,8","","04.01.12","0","Professional","1","1",\N,"0.00"
"58","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630397897","Dia Richesse","Dia Richesse 5","","04.01.13","0","Professional","3","3",\N,"0.00"
"59","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630478732","Dia Richesse","Dia Richesse 5,01","","04.01.14","0","Professional","1","1",\N,"0.00"
"60","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630456723","Dia Richesse","Dia Richesse 5,12","","04.01.15","0","Professional","1","0",\N,"0.00"
"61","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474634004180","Dia Richesse","Dia Richesse 5,13","","04.01.16","0","Professional","1","3",\N,"0.00"
"62","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399396","Dia Richesse","Dia Richesse 5,15","","04.01.17","0","Professional","1","1",\N,"0.00"
"63","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399297","Dia Richesse","Dia Richesse 5,25","","04.01.18","0","Professional","1","1",\N,"0.00"
"64","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630479074","Dia Richesse","Dia Richesse 5,3","","04.01.19","0","Professional","1","1",\N,"0.00"
"65","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630398696","Dia Richesse","Dia Richesse 5,32","","04.01.20","0","Professional","1","2",\N,"0.00"
"66","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630442863","Dia Richesse","Dia Richesse 5,35","","04.01.21","0","Professional","1","1",\N,"0.00"
"67","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630456822","Dia Richesse","Dia Richesse 5,52","","04.01.22","0","Professional","1","1",\N,"0.00"
"68","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630480278","Dia Richesse","Dia Richesse 5,60","","04.01.23","0","Professional","1","1",\N,"0.00"
"69","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630570245","Dia Richesse","Dia Richesse 5,8","","04.01.24","0","Professional","1","4",\N,"0.00"
"70","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630397996","Dia Richesse","Dia Richesse 6","","04.01.25","0","Professional","6","3",\N,"0.00"
"71","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630443464","Dia Richesse","Dia Richesse 6,01","","04.01.26","0","Professional","1","1",\N,"0.00"
"72","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630457027","Dia Richesse","Dia Richesse 6,12","","04.01.27","0","Professional","2","0",\N,"0.00"
"73","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399495","Dia Richesse","Dia Richesse 6,13","","04.01.28","0","Professional","1","1",\N,"0.00"
"74","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630443068","Dia Richesse","Dia Richesse 6,23","","04.01.29","0","Professional","2","0",\N,"0.00"
"75","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630478978","Dia Richesse","Dia Richesse 6,3","","04.01.30","0","Professional","1","1",\N,"0.00"
"76","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398894","Dia Richesse","Dia Richesse 6,34","","04.01.31","0","Professional","1","1",\N,"0.00"
"77","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398795","Dia Richesse","Dia Richesse 6,35","","04.01.32","0","Professional","1","1",\N,"0.00"
"78","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630480377","Dia Richesse","Dia Richesse 6,45","","04.01.33","0","Professional","1","1",\N,"0.00"
"79","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630480476","Dia Richesse","Dia Richesse 6,64","","04.01.34","0","Professional","1","1",\N,"0.00"
"80","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630570344","Dia Richesse","Dia Richesse 6,8","","04.01.35","0","Professional","1","4",\N,"0.00"
"81","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398122","Dia Richesse","Dia Richesse 7","","04.01.36","0","Professional","6","5",\N,"0.00"
"82","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630457225","Dia Richesse","Dia Richesse 7,01","","04.01.37","0","Professional","1","1",\N,"0.00"
"83","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630457355","Dia Richesse","Dia Richesse 7,13","","04.01.38","0","Professional","1","1",\N,"0.00"
"84","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630442368","Dia Richesse","Dia Richesse 7,23","","04.01.39","0","Professional","3","3",\N,"0.00"
"85","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398399","Dia Richesse","Dia Richesse 7,30","","04.01.40","0","Professional","2","2",\N,"0.00"
"86","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398993","Dia Richesse","Dia Richesse 7,31","","04.01.41","0","Professional","1","0",\N,"0.00"
