LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,520,735.00,84,72,20.51,34.87,"1,139.36","11,874.60",520,735.00,84,72,20.51,34.87,"1,139.36","11,874.60"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
"Dia Light 9,21",3474636588220,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Light 9,3",3474630409637,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Light 9,31",3474636417551,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
Dia Light Clear,3474630400191,Scanlon Hair,1.00,2,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Richesse ,20",3474636602193,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Richesse ,24",3474636608713,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Richesse ,26",3474636602148,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
Dia Richesse 1,3474630397552,Scanlon Hair,4.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Richesse 10,12",3474630549456,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
Dia Richesse 3,3474630397699,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
Dia Richesse 4,3474630397798,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Richesse 4,15",3474630399099,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
"Dia Richesse 4,20",3474630399594,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,735.00,572.52,574.31,"6,555.60","1,139.36","11,874.60"
